{'type': 'sell', 'datetime': datetime.datetime(2023, 1, 5, 21, 53), 'price': 0.07262, 'size': 1000, 'value': 1001.3299999999998, 'cash_remaining': 928.7099999999998}
{'type': 'buy', 'datetime': datetime.datetime(2023, 1, 5, 22, 37), 'price': 0.07253, 'size': 1000, 'value': 1001.3399999999998, 'cash_remaining': 1001.3399999999998}
{'type': 'sell', 'datetime': datetime.datetime(2023, 1, 6, 0, 19), 'price': 0.07176, 'size': 1000, 'value': 1000.5799999999998, 'cash_remaining': 928.8199999999998}
{'type': 'buy', 'datetime': datetime.datetime(2023, 1, 6, 1, 27), 'price': 0.07192, 'size': 1000, 'value': 1000.5799999999998, 'cash_remaining': 1000.5799999999998}
{'type': 'sell', 'datetime': datetime.datetime(2023, 1, 6, 3, 27), 'price': 0.07152, 'size': 1000, 'value': 1000.1699999999998, 'cash_remaining': 928.6499999999999}
{'type': 'buy', 'datetime': datetime.datetime(2023, 1, 6, 4, 22), 'price': 0.07102, 'size': 1000, 'value': 1000.1699999999998, 'cash_remaining': 1000.1699999999998}
{'type': 'sell', 'datetime': datetime.datetime(2023, 1, 6, 4, 57), 'price': 0.07119, 'size': 1000, 'value': 1000.3499999999999, 'cash_remaining': 929.1599999999999}
{'type': 'buy', 'datetime': datetime.datetime(2023, 1, 6, 5, 45), 'price': 0.07099, 'size': 1000, 'value': 1000.3499999999999, 'cash_remaining': 1000.3499999999999}
{'type': 'sell', 'datetime': datetime.datetime(2023, 1, 6, 7, 21), 'price': 0.07085, 'size': 1000, 'value': 1000.2199999999999, 'cash_remaining': 929.3699999999999}
{'type': 'buy', 'datetime': datetime.datetime(2023, 1, 6, 9, 4), 'price': 0.07084, 'size': 1000, 'value': 1000.2199999999999, 'cash_remaining': 1000.2199999999999}
{'type': 'sell', 'datetime': datetime.datetime(2023, 1, 6, 9, 53), 'price': 0.07091, 'size': 1000, 'value': 1000.2899999999998, 'cash_remaining': 929.3799999999999}
{'type': 'buy', 'datetime': datetime.datetime(2023, 1, 6, 10, 44), 'price': 0.07083, 'size': 1000, 'value': 1000.2899999999998, 'cash_remaining': 1000.2899999999998}
{'type': 'sell', 'datetime': datetime.datetime(2023, 1, 6, 12, 36), 'price': 0.07049, 'size': 1000, 'value': 999.9599999999998, 'cash_remaining': 929.4699999999998}
{'type': 'buy', 'datetime': datetime.datetime(2023, 1, 6, 13, 9), 'price': 0.07041, 'size': 1000, 'value': 999.9499999999998, 'cash_remaining': 999.9499999999998}
{'type': 'sell', 'datetime': datetime.datetime(2023, 1, 6, 13, 35), 'price': 0.07093, 'size': 1000, 'value': 1000.4799999999998, 'cash_remaining': 929.5499999999998}
{'type': 'buy', 'datetime': datetime.datetime(2023, 1, 6, 17, 38), 'price': 0.07142, 'size': 1000, 'value': 1000.4599999999998, 'cash_remaining': 1000.4599999999998}
{'type': 'sell', 'datetime': datetime.datetime(2023, 1, 6, 18, 9), 'price': 0.07189, 'size': 1000, 'value': 1000.9399999999998, 'cash_remaining': 929.0499999999998}
{'type': 'buy', 'datetime': datetime.datetime(2023, 1, 6, 19, 8), 'price': 0.07175, 'size': 1000, 'value': 1000.9499999999998, 'cash_remaining': 1000.9499999999998}
{'type': 'sell', 'datetime': datetime.datetime(2023, 1, 6, 19, 46), 'price': 0.0722, 'size': 1000, 'value': 1001.3999999999999, 'cash_remaining': 929.1999999999998}
{'type': 'buy', 'datetime': datetime.datetime(2023, 1, 6, 20, 29), 'price': 0.07211, 'size': 1000, 'value': 1001.3999999999999, 'cash_remaining': 1001.3999999999999}
{'type': 'sell', 'datetime': datetime.datetime(2023, 1, 6, 22, 3), 'price': 0.07227, 'size': 1000, 'value': 1001.5599999999998, 'cash_remaining': 929.2899999999998}
{'type': 'buy', 'datetime': datetime.datetime(2023, 1, 6, 23, 39), 'price': 0.07241, 'size': 1000, 'value': 1001.5599999999998, 'cash_remaining': 1001.5599999999998}
{'type': 'sell', 'datetime': datetime.datetime(2023, 1, 7, 0, 44), 'price': 0.07259, 'size': 1000, 'value': 1001.7399999999999, 'cash_remaining': 929.1499999999999}
{'type': 'buy', 'datetime': datetime.datetime(2023, 1, 7, 1, 24), 'price': 0.0726, 'size': 1000, 'value': 1001.7399999999999, 'cash_remaining': 1001.7399999999999}
{'type': 'sell', 'datetime': datetime.datetime(2023, 1, 7, 3, 27), 'price': 0.07248, 'size': 1000, 'value': 1001.6099999999999, 'cash_remaining': 929.1299999999999}
{'type': 'buy', 'datetime': datetime.datetime(2023, 1, 7, 4, 24), 'price': 0.07226, 'size': 1000, 'value': 1001.5899999999999, 'cash_remaining': 1001.5899999999999}
{'type': 'sell', 'datetime': datetime.datetime(2023, 1, 7, 6, 42), 'price': 0.07222, 'size': 1000, 'value': 1001.55, 'cash_remaining': 929.3299999999999}
{'type': 'buy', 'datetime': datetime.datetime(2023, 1, 7, 8, 30), 'price': 0.07239, 'size': 1000, 'value': 1001.55, 'cash_remaining': 1001.55}
{'type': 'sell', 'datetime': datetime.datetime(2023, 1, 7, 9, 40), 'price': 0.07248, 'size': 1000, 'value': 1001.64, 'cash_remaining': 929.16}
{'type': 'buy', 'datetime': datetime.datetime(2023, 1, 7, 10, 1), 'price': 0.0724, 'size': 1000, 'value': 1001.64, 'cash_remaining': 1001.64}
{'type': 'sell', 'datetime': datetime.datetime(2023, 1, 7, 13, 16), 'price': 0.07215, 'size': 1000, 'value': 1001.39, 'cash_remaining': 929.24}
{'type': 'buy', 'datetime': datetime.datetime(2023, 1, 7, 14, 1), 'price': 0.07196, 'size': 1000, 'value': 1001.4, 'cash_remaining': 1001.4}
{'type': 'sell', 'datetime': datetime.datetime(2023, 1, 7, 14, 35), 'price': 0.07201, 'size': 1000, 'value': 1001.4599999999999, 'cash_remaining': 929.4499999999999}
{'type': 'buy', 'datetime': datetime.datetime(2023, 1, 7, 16, 26), 'price': 0.07218, 'size': 1000, 'value': 1001.4499999999999, 'cash_remaining': 1001.4499999999999}
{'type': 'sell', 'datetime': datetime.datetime(2023, 1, 7, 17, 30), 'price': 0.07205, 'size': 1000, 'value': 1001.31, 'cash_remaining': 929.26}
{'type': 'buy', 'datetime': datetime.datetime(2023, 1, 7, 17, 52), 'price': 0.07196, 'size': 1000, 'value': 1001.31, 'cash_remaining': 1001.31}
{'type': 'sell', 'datetime': datetime.datetime(2023, 1, 7, 18, 24), 'price': 0.0721, 'size': 1000, 'value': 1001.4499999999999, 'cash_remaining': 929.3499999999999}
{'type': 'buy', 'datetime': datetime.datetime(2023, 1, 7, 20, 42), 'price': 0.07207, 'size': 1000, 'value': 1001.4499999999999, 'cash_remaining': 1001.4499999999999}
{'type': 'sell', 'datetime': datetime.datetime(2023, 1, 7, 21, 11), 'price': 0.07229, 'size': 1000, 'value': 1001.6699999999998, 'cash_remaining': 929.3799999999999}
{'type': 'buy', 'datetime': datetime.datetime(2023, 1, 7, 22, 9), 'price': 0.07217, 'size': 1000, 'value': 1001.6599999999999, 'cash_remaining': 1001.6599999999999}
{'type': 'sell', 'datetime': datetime.datetime(2023, 1, 7, 23, 36), 'price': 0.07222, 'size': 1000, 'value': 1001.6999999999999, 'cash_remaining': 929.4799999999999}
{'type': 'buy', 'datetime': datetime.datetime(2023, 1, 8, 0, 25), 'price': 0.07214, 'size': 1000, 'value': 1001.6999999999999, 'cash_remaining': 1001.6999999999999}
